Product,₹ Current Price,₹ Price Before,Discount,Rating
ASUS ROG Zephyrus G15 (2022) Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/...,211990,254990,16% off,
ASUS ROG Strix G15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/8 GB G...,146990,176990,16% off,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Hom...,181990,253990,28% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home...,129990,194990,33% off,
DELL Alienware Core i9 12th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,334990,374003,10% off,
ASUS ROG Zephyrus M16 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,236163,287990,17% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) vostro 3510 icl Thin and Light Laptop,40690,55444,26% off,
ASUS ROG Flow Z13 (2022) Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,131049,215990,39% off,
ASUS ROG Strix G17 with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB ...,210990,272990,22% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
APPLE 2023 MacBook Pro M2 Max - (32 GB/1 TB SSD/macOS Ventura) MNWA3HN/A,349900,,,
DELL Inspiron Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10) Inspiron 7415 2 in 1 Laptop,68000,92999,26% off,
acer Extensa Core i3 - (8 GB/256 GB SSD/Windows 11 Home) EX215-33 Notebook,36990,44999,17% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
MSI Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin and Light Lap...,47990,61990,22% off,
ASUS Zenbook 14 OLED (2023) Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) UM3402YA-KM751W...,104990,128990,18% off,
MSI Core i7 13th Gen - (32 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) Raider G...,259990,335990,22% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin a...,89990,112990,20% off,
APPLE MacBook Air M1 - (16 GB/512 GB SSD/Mac OS Big Sur) Z124J006KD,132900,,,
HP Pavilion Aero (2023) Ryzen 7 Octa Core 7735U - (16 GB/1 TB SSD/Windows 11 Home) 13-BE2047AU Thin an...,78990,91616,13% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) vostro 3510 icl Thin and Light Laptop,40690,55444,26% off,
APPLE 2023 MacBook Pro M2 Pro - (16 GB/1 TB SSD/macOS Ventura) MPHJ3HN/A,249900,,,
ASUS ROG Zephyrus M16 (2023) Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA ...,299990,359990,16% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
ASUS Vivobook 16 (2023) Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1605VAB-MB322WS Laptop,47990,62990,23% off,
realme Book Prime Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Lapt...,47999,69999,31% off,
DELL Ryzen 3 Quad Core 5425U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Laptop,40990,49990,18% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin an...,74990,93990,20% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGQ3HN/A,239900,,,
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MNWC3HN/A,249900,,,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
ASUS Core i9 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) K6502HCB-LP902WS Laptop,87486,135000,35% off,
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,24990,34990,28% off,
DELL Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,86990,121935,28% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,42990,59119,27% off,
ASUS Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050...,65990,74990,12% off,
HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dv2053TU Thin and Light Lapt...,62990,73688,14% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
ASUS Zenbook 14X OLED Space Edition Touchscreen Intel H-Series Core i9 12th Gen - (32 GB/1 TB SSD/Wind...,159990,206990,22% off,
ASUS ROG Zephyrus M16 (2023) Core i9 13th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA ...,364990,431990,15% off,
MSI Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-435IN Thin and Light Laptop,75990,85990,11% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
HP Victus Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/14...,79900,101278,21% off,
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0074TU Thin and Light Lap...,74990,87095,13% off,
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,105672,132990,20% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
ASUS Vivobook 14 Touchscreen Intel P-Series Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402...,45990,62990,26% off,
ASUS Vivobook Pro 16 OLED (2023) Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,124990,152990,18% off,
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MNW83HN/A,239990,249900,3% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY23HN/A,135990,149900,9% off,
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,55990,76890,27% off,
HP Laptop Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) 15s-du3612TU Thin and Light La...,40990,54051,24% off,
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,24990,34990,28% off,
DELL Ryzen 3 Quad Core 5425U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Laptop,40990,49990,18% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGT3HN/A,219894,239900,8% off,
MSI Stealth GS66 Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3...,275990,313990,12% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin an...,74990,93990,20% off,
HP Pavilion Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0086TU Thin and Light Laptop,69990,83705,16% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MK193HN/A,259900,,,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15...,99990,128665,22% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MK1F3HN/A,259900,,,
HP Omen Intel Core i9 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 308...,296000,344736,14% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
DELL Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5320 Thin and Light Laptop,89999,112464,19% off,
HP Envy x360 Creator Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360-bf0121TU Thi...,85990,99148,13% off,
DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) New Inspiron 15 Metal Laptop ...,73490,99155,25% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
acer Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,46990,50999,7% off,
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphi...,98584,142990,31% off,
APPLE 2023 MacBook Pro M2 Max - (32 GB/1 TB SSD/macOS Ventura) MNWA3HN/A,349900,,,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
APPLE 2023 MacBook Pro M2 Max - (32 GB/1 TB SSD/macOS Ventura) MPHK3HN/A,309900,,,
ASUS Core i9 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) K6502HCB-LP902WS Laptop,87486,135000,35% off,
MSI Core i9 13th Gen - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 4080) Raider ...,359990,447990,19% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
MSI Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) Katana...,99990,123990,19% off,
MSI Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-435IN Thin and Light Laptop,75990,85990,11% off,
DELL Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3420 Thin and Light Laptop,44990,61885,27% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
ASUS Vivobook 14 Intel P-Series Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK311WS L...,42990,57990,25% off,
MSI Core i9 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 3080 Ti/120 H...,299990,481990,37% off,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Hom...,174990,236990,26% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,105672,132990,20% off,
HP Victus Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/14...,79900,101278,21% off,
ASUS Vivobook 14 Touchscreen Intel P-Series Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402...,45990,62990,26% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
ALIENWARE Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2080 wit...,325990,377798,13% off,
ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graph...,74990,140990,46% off,
ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800HS - (16 GB/1 TB SSD/Windows ...,171990,230990,25% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY23HN/A,135990,149900,9% off,
ASUS Vivobook S 15 OLED (2023) Intel EVO H-Series Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home...,85990,105990,18% off,
ASUS ProArt Studiobook 16 OLED (2022) with ASUS Dial Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Hom...,199990,242990,17% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA Laptop,35710,52990,32% off,
HP Pavilion Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14-ec0000AX Thi...,64700,74839,13% off,
Lenovo Legion 5 Pro Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,189990,251890,24% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
HP Victus Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,66980,82961,19% off,
realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Lap...,56999,74999,24% off,
APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J005KD,112900,,,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,76990,103490,25% off,
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,42990,58990,27% off,
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX - (32 G...,391990,467990,16% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
ASUS Ryzen 7 Quad Core 10th Gen - (16 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,154990,201990,23% off,
DELL Inspiron Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7415 2 in 1 Laptop,84890,111529,23% off,
Avita PURA E 14 Ryzen 5 Quad Core 3rd Gen - (8 GB/512 GB SSD/Windows 10) NS14A6INV561-SGC Thin and Lig...,26990,32500,16% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
DELL Alienware Core i9 12th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,304990,350628,13% off,
HP Envy x360 Creator OLED Eyesafe Intel Evo Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) x360-b...,114990,132871,13% off,
Lenovo Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop,39990,58187,31% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
ASUS Zenbook 13 Intel EVO Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX325EA-KG502WS Thin an...,64990,86990,25% off,
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,55890,76139,26% off,
DELL Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/...,146990,190925,23% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
HP OMEN Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,101490,117664,13% off,
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3515 Notebook,41990,54435,22% off,
ASUS Vivobook Go 15 OLED (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK...,56990,74990,24% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGT3HN/A,219894,239900,8% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MK1F3HN/A,259900,,,
Lenovo Lenovo V15 Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,23490,42032,44% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
DELL Inspiron Ryzen 7 Octa Core 5825U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,62490,85550,26% off,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Hom...,174990,236990,26% off,
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10) Inspiron 3505 Notebook,38990,49613,21% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
HP Pavilion Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dy0207TU Thin and Light Lapt...,51969,63362,17% off,
HP Pavilion Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0084TU Thin and Light Laptop,70990,84835,16% off,
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,87990,107990,18% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
Lenovo IdeaPad Flex 5 Intel Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL05 2 in 1 Lapto...,91990,121779,24% off,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home...,129990,194990,33% off,
acer Predator Helios Neo 16 Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,124990,156999,20% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
ASUS ROG Flow X13 (2022) with Radeon RX 6850M XT eGPU Ryzen 7 Octa Core 6800HS - (32 GB/1 TB SSD/Windo...,264990,341990,22% off,
ASUS Vivobook GO 14 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK323WS...,39438,50990,22% off,
HP Ryzen 9 Octa Core 6900HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/AMD Radeon RX 6650M) 16-n0...,154490,178167,13% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti...,99000,131719,24% off,
Infinix INBook X2 Plus Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,31490,44990,30% off,
ASUS Vivobook 14 Intel P-Series Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK311WS L...,42990,57990,25% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen - (16 GB/1 TB SSD/Windows 11 Home/...,124990,188990,33% off,
ASUS ROG Strix SCAR 16 (2023) Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...,339990,407990,16% off,
ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForc...,281990,362990,22% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,106990,119900,10% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14ITL6 Thin and Light...,40990,61390,33% off,
ASUS Vivobook 14X OLED (2023) Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...,89990,110990,18% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
ASUS TUF Gaming A17 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windo...,88990,131990,32% off,
HP Pavilion Intel Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1050TU Thin and Light Lap...,89990,99990,10% off,
acer Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,46990,50999,7% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
APPLE 2020 Macbook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGNE3HN/A,112990,117900,4% off,
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB...,115990,175990,34% off,
Lenovo IdeaPad Gaming 3 Intel Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,118900,153890,22% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
APPLE 2021 Macbook Pro M1 Pro - (16 GB/512 GB SSD/Mac OS Monterey) MK1E3HN/A,239900,,,
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,80990,113290,28% off,
MSI CreatorPro M16 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,109990,145990,24% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEP3HN/A,115990,129990,10% off,
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,99990,128990,22% off,
DELL Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,75990,102522,25% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,27990,44990,37% off,
ASUS Vivobook Go 14 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK322WS...,39380,50990,22% off,
ASUS Vivobook Pro 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,80990,86990,6% off,
Lenovo Lenovo V15 Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,23490,42032,44% off,
